lsoa_code,year_month,predicted_burglary,predicted_burglary_norm
E01000001,2025-07,0,0.0
E01000002,2025-07,1,0.0625
E01000003,2025-07,4,0.25
E01000005,2025-07,0,0.0
E01000006,2025-07,0,0.0
E01000007,2025-07,2,0.125
E01000008,2025-07,0,0.0
E01000009,2025-07,4,0.25
E01000010,2025-07,0,0.0
E01000011,2025-07,0,0.0
E01000012,2025-07,0,0.0
E01000013,2025-07,5,0.3125
E01000014,2025-07,2,0.125
E01000015,2025-07,5,0.3125
E01000016,2025-07,3,0.1875
E01000017,2025-07,0,0.0
E01000018,2025-07,1,0.0625
E01000019,2025-07,1,0.0625
E01000020,2025-07,4,0.25
E01000021,2025-07,0,0.0
E01000022,2025-07,0,0.0
E01000023,2025-07,0,0.0
E01000024,2025-07,4,0.25
E01000025,2025-07,0,0.0
E01000027,2025-07,1,0.0625
E01000028,2025-07,0,0.0
E01000029,2025-07,1,0.0625
E01000030,2025-07,0,0.0
E01000031,2025-07,0,0.0
E01000032,2025-07,3,0.1875
E01000033,2025-07,0,0.0
E01000034,2025-07,1,0.0625
E01000035,2025-07,5,0.3125
E01000036,2025-07,0,0.0
E01000037,2025-07,0,0.0
E01000038,2025-07,0,0.0
E01000039,2025-07,1,0.0625
E01000040,2025-07,0,0.0
E01000041,2025-07,0,0.0
E01000042,2025-07,0,0.0
E01000043,2025-07,3,0.1875
E01000044,2025-07,0,0.0
E01000045,2025-07,0,0.0
E01000046,2025-07,0,0.0
E01000048,2025-07,0,0.0
E01000049,2025-07,0,0.0
E01000050,2025-07,3,0.1875
E01000051,2025-07,2,0.125
E01000052,2025-07,3,0.1875
E01000053,2025-07,0,0.0
E01000054,2025-07,0,0.0
E01000055,2025-07,1,0.0625
E01000056,2025-07,1,0.0625
E01000057,2025-07,2,0.125
E01000058,2025-07,0,0.0
E01000059,2025-07,0,0.0
E01000060,2025-07,1,0.0625
E01000061,2025-07,0,0.0
E01000062,2025-07,2,0.125
E01000063,2025-07,0,0.0
E01000064,2025-07,1,0.0625
E01000065,2025-07,1,0.0625
E01000066,2025-07,4,0.25
E01000067,2025-07,1,0.0625
E01000068,2025-07,4,0.25
E01000069,2025-07,1,0.0625
E01000070,2025-07,4,0.25
E01000071,2025-07,1,0.0625
E01000072,2025-07,2,0.125
E01000073,2025-07,0,0.0
E01000074,2025-07,0,0.0
E01000075,2025-07,5,0.3125
E01000076,2025-07,4,0.25
E01000077,2025-07,4,0.25
E01000078,2025-07,4,0.25
E01000079,2025-07,0,0.0
E01000080,2025-07,3,0.1875
E01000081,2025-07,1,0.0625
E01000082,2025-07,3,0.1875
E01000083,2025-07,1,0.0625
E01000084,2025-07,0,0.0
E01000085,2025-07,2,0.125
E01000086,2025-07,1,0.0625
E01000087,2025-07,4,0.25
E01000088,2025-07,1,0.0625
E01000089,2025-07,1,0.0625
E01000090,2025-07,3,0.1875
E01000091,2025-07,0,0.0
E01000092,2025-07,0,0.0
E01000093,2025-07,0,0.0
E01000094,2025-07,3,0.1875
E01000095,2025-07,4,0.25
E01000096,2025-07,0,0.0
E01000097,2025-07,0,0.0
E01000098,2025-07,1,0.0625
E01000099,2025-07,0,0.0
E01000100,2025-07,2,0.125
E01000101,2025-07,0,0.0
E01000102,2025-07,3,0.1875
E01000103,2025-07,2,0.125
E01000104,2025-07,4,0.25
E01000105,2025-07,2,0.125
E01000106,2025-07,4,0.25
E01000107,2025-07,2,0.125
E01000108,2025-07,4,0.25
E01000109,2025-07,0,0.0
E01000110,2025-07,0,0.0
E01000111,2025-07,0,0.0
E01000112,2025-07,0,0.0
E01000113,2025-07,3,0.1875
E01000114,2025-07,5,0.3125
E01000115,2025-07,0,0.0
E01000116,2025-07,0,0.0
E01000117,2025-07,1,0.0625
E01000118,2025-07,1,0.0625
E01000119,2025-07,1,0.0625
E01000120,2025-07,0,0.0
E01000121,2025-07,1,0.0625
E01000122,2025-07,1,0.0625
E01000123,2025-07,3,0.1875
E01000124,2025-07,3,0.1875
E01000125,2025-07,0,0.0
E01000126,2025-07,0,0.0
E01000127,2025-07,0,0.0
E01000128,2025-07,1,0.0625
E01000129,2025-07,1,0.0625
E01000130,2025-07,1,0.0625
E01000131,2025-07,0,0.0
E01000132,2025-07,1,0.0625
E01000133,2025-07,3,0.1875
E01000134,2025-07,1,0.0625
E01000135,2025-07,1,0.0625
E01000136,2025-07,1,0.0625
E01000137,2025-07,0,0.0
E01000138,2025-07,2,0.125
E01000139,2025-07,1,0.0625
E01000140,2025-07,1,0.0625
E01000141,2025-07,4,0.25
E01000142,2025-07,0,0.0
E01000143,2025-07,0,0.0
E01000144,2025-07,0,0.0
E01000145,2025-07,0,0.0
E01000146,2025-07,4,0.25
E01000147,2025-07,4,0.25
E01000148,2025-07,0,0.0
E01000150,2025-07,2,0.125
E01000151,2025-07,0,0.0
E01000152,2025-07,2,0.125
E01000153,2025-07,0,0.0
E01000154,2025-07,5,0.3125
E01000155,2025-07,0,0.0
E01000156,2025-07,1,0.0625
E01000157,2025-07,0,0.0
E01000158,2025-07,0,0.0
E01000159,2025-07,1,0.0625
E01000160,2025-07,2,0.125
E01000161,2025-07,0,0.0
E01000162,2025-07,1,0.0625
E01000163,2025-07,0,0.0
E01000164,2025-07,0,0.0
E01000165,2025-07,0,0.0
E01000166,2025-07,0,0.0
E01000167,2025-07,0,0.0
E01000168,2025-07,1,0.0625
E01000169,2025-07,0,0.0
E01000170,2025-07,2,0.125
E01000171,2025-07,4,0.25
E01000172,2025-07,0,0.0
E01000173,2025-07,4,0.25
E01000174,2025-07,4,0.25
E01000175,2025-07,0,0.0
E01000176,2025-07,0,0.0
E01000177,2025-07,4,0.25
E01000178,2025-07,1,0.0625
E01000179,2025-07,4,0.25
E01000180,2025-07,0,0.0
E01000181,2025-07,5,0.3125
E01000182,2025-07,4,0.25
E01000183,2025-07,1,0.0625
E01000184,2025-07,1,0.0625
E01000185,2025-07,2,0.125
E01000186,2025-07,2,0.125
E01000187,2025-07,4,0.25
E01000188,2025-07,1,0.0625
E01000189,2025-07,5,0.3125
E01000190,2025-07,2,0.125
E01000191,2025-07,1,0.0625
E01000192,2025-07,1,0.0625
E01000193,2025-07,4,0.25
E01000194,2025-07,0,0.0
E01000195,2025-07,1,0.0625
E01000196,2025-07,0,0.0
E01000197,2025-07,4,0.25
E01000198,2025-07,0,0.0
E01000199,2025-07,1,0.0625
E01000200,2025-07,4,0.25
E01000201,2025-07,5,0.3125
E01000202,2025-07,1,0.0625
E01000203,2025-07,1,0.0625
E01000204,2025-07,1,0.0625
E01000205,2025-07,4,0.25
E01000206,2025-07,1,0.0625
E01000207,2025-07,1,0.0625
E01000208,2025-07,5,0.3125
E01000209,2025-07,0,0.0
E01000210,2025-07,4,0.25
E01000211,2025-07,2,0.125
E01000212,2025-07,3,0.1875
E01000213,2025-07,0,0.0
E01000214,2025-07,2,0.125
E01000215,2025-07,0,0.0
E01000216,2025-07,5,0.3125
E01000217,2025-07,5,0.3125
E01000218,2025-07,0,0.0
E01000219,2025-07,0,0.0
E01000220,2025-07,5,0.3125
E01000221,2025-07,3,0.1875
E01000222,2025-07,4,0.25
E01000223,2025-07,5,0.3125
E01000224,2025-07,1,0.0625
E01000225,2025-07,0,0.0
E01000226,2025-07,3,0.1875
E01000227,2025-07,3,0.1875
E01000228,2025-07,1,0.0625
E01000229,2025-07,1,0.0625
E01000230,2025-07,2,0.125
E01000231,2025-07,0,0.0
E01000232,2025-07,2,0.125
E01000233,2025-07,1,0.0625
E01000234,2025-07,3,0.1875
E01000235,2025-07,1,0.0625
E01000236,2025-07,6,0.375
E01000237,2025-07,0,0.0
E01000238,2025-07,4,0.25
E01000239,2025-07,0,0.0
E01000240,2025-07,1,0.0625
E01000241,2025-07,0,0.0
E01000242,2025-07,0,0.0
E01000243,2025-07,1,0.0625
E01000244,2025-07,3,0.1875
E01000245,2025-07,5,0.3125
E01000246,2025-07,0,0.0
E01000247,2025-07,0,0.0
E01000248,2025-07,0,0.0
E01000249,2025-07,2,0.125
E01000250,2025-07,2,0.125
E01000251,2025-07,4,0.25
E01000252,2025-07,1,0.0625
E01000253,2025-07,0,0.0
E01000254,2025-07,0,0.0
E01000255,2025-07,1,0.0625
E01000256,2025-07,1,0.0625
E01000257,2025-07,4,0.25
E01000258,2025-07,1,0.0625
E01000259,2025-07,2,0.125
E01000260,2025-07,2,0.125
E01000261,2025-07,4,0.25
E01000262,2025-07,0,0.0
E01000263,2025-07,1,0.0625
E01000264,2025-07,1,0.0625
E01000265,2025-07,0,0.0
E01000266,2025-07,1,0.0625
E01000267,2025-07,0,0.0
E01000268,2025-07,1,0.0625
E01000269,2025-07,3,0.1875
E01000270,2025-07,2,0.125
E01000271,2025-07,2,0.125
E01000272,2025-07,0,0.0
E01000273,2025-07,3,0.1875
E01000274,2025-07,3,0.1875
E01000275,2025-07,0,0.0
E01000276,2025-07,1,0.0625
E01000277,2025-07,1,0.0625
E01000278,2025-07,2,0.125
E01000279,2025-07,4,0.25
E01000280,2025-07,0,0.0
E01000281,2025-07,5,0.3125
E01000282,2025-07,2,0.125
E01000283,2025-07,2,0.125
E01000284,2025-07,1,0.0625
E01000285,2025-07,2,0.125
E01000286,2025-07,0,0.0
E01000287,2025-07,0,0.0
E01000288,2025-07,1,0.0625
E01000289,2025-07,1,0.0625
E01000290,2025-07,1,0.0625
E01000291,2025-07,0,0.0
E01000292,2025-07,2,0.125
E01000293,2025-07,3,0.1875
E01000294,2025-07,0,0.0
E01000295,2025-07,0,0.0
E01000296,2025-07,0,0.0
E01000297,2025-07,0,0.0
E01000298,2025-07,0,0.0
E01000299,2025-07,3,0.1875
E01000300,2025-07,1,0.0625
E01000301,2025-07,0,0.0
E01000302,2025-07,0,0.0
E01000303,2025-07,0,0.0
E01000304,2025-07,1,0.0625
E01000305,2025-07,4,0.25
E01000306,2025-07,0,0.0
E01000307,2025-07,0,0.0
E01000308,2025-07,2,0.125
E01000309,2025-07,0,0.0
E01000310,2025-07,5,0.3125
E01000311,2025-07,0,0.0
E01000312,2025-07,3,0.1875
E01000313,2025-07,1,0.0625
E01000314,2025-07,0,0.0
E01000315,2025-07,2,0.125
E01000316,2025-07,2,0.125
E01000317,2025-07,0,0.0
E01000318,2025-07,1,0.0625
E01000319,2025-07,0,0.0
E01000320,2025-07,1,0.0625
E01000321,2025-07,2,0.125
E01000322,2025-07,1,0.0625
E01000323,2025-07,0,0.0
E01000324,2025-07,1,0.0625
E01000325,2025-07,1,0.0625
E01000326,2025-07,0,0.0
E01000327,2025-07,3,0.1875
E01000328,2025-07,0,0.0
E01000329,2025-07,2,0.125
E01000330,2025-07,0,0.0
E01000331,2025-07,3,0.1875
E01000332,2025-07,0,0.0
E01000333,2025-07,1,0.0625
E01000334,2025-07,0,0.0
E01000335,2025-07,1,0.0625
E01000336,2025-07,0,0.0
E01000337,2025-07,1,0.0625
E01000338,2025-07,2,0.125
E01000339,2025-07,0,0.0
E01000340,2025-07,1,0.0625
E01000341,2025-07,0,0.0
E01000342,2025-07,1,0.0625
E01000343,2025-07,2,0.125
E01000344,2025-07,0,0.0
E01000345,2025-07,1,0.0625
E01000346,2025-07,0,0.0
E01000347,2025-07,1,0.0625
